id,device_id,data,type,date
1,QS2002,0,button_call,2021-05-09 07:43:19
2,QS2002,-5,button_call,2021-05-09 07:44:07
3,QS2002,-2,button_call,2021-05-09 07:44:13
4,QS2002,3,button_call,2021-05-09 07:44:15
5,QS2002,-6,button_call,2021-05-09 07:44:19
6,QS2002,4,button_call,2021-05-09 07:44:32
7,QS2002,0,elevation,2021-05-09 07:44:51
8,QS2002,7.71,wind_speed,2021-05-09 07:44:51
9,QS2002,1, person_entry,2021-05-09 07:44:51
10,QS2002,3,elevation,2021-05-09 07:44:54
11,QS2002,8.68,wind_speed,2021-05-09 07:44:56
12,QS2002,1,elevation,2021-05-09 07:44:57
13,QS2002,0,elevation,2021-05-09 07:45:00
14,QS2002,7.30,wind_speed,2021-05-09 07:45:01
15,QS2002,2,button_call,2021-05-09 07:45:01
16,QS2002,1,elevation,2021-05-09 07:45:03
17,QS2002,1,elevation,2021-05-09 07:45:06
18,QS2002,10.84,wind_speed,2021-05-09 07:45:06
19,QS2002,-3,button_call,2021-05-09 07:45:06
20,QS2002,0,elevation,2021-05-09 07:45:09
21,QS2002,10.27,wind_speed,2021-05-09 07:45:11
22,QS2002,0,elevation,2021-05-09 07:45:12
23,QS2002,2,elevation,2021-05-09 07:45:15
24,QS2002,2, person_entry,2021-05-09 07:45:16
25,QS2002,5.08,wind_speed,2021-05-09 07:45:16
26,QS2002,1,elevation,2021-05-09 07:45:18
27,QS2002,4,button_call,2021-05-09 07:45:20
28,QS2002,0,elevation,2021-05-09 07:45:21
29,QS2002,3.78,wind_speed,2021-05-09 07:45:21
30,QS2002,0,elevation,2021-05-09 07:45:24
31,QS2002,0,door_open,2021-05-09 07:45:24
32,QS2002,5.26,wind_speed,2021-05-09 07:45:26
33,QS2002,0,elevation,2021-05-09 07:45:27
34,QS2002,2, person_exit,2021-05-09 07:45:29
35,QS2002,0,elevation,2021-05-09 07:45:30
36,QS2002,8.87,wind_speed,2021-05-09 07:45:31
37,QS2002,0,elevation,2021-05-09 07:45:33
38,QS2002,1,elevation,2021-05-09 07:45:36
39,QS2002,3.99,wind_speed,2021-05-09 07:45:36
40,QS2002,3,elevation,2021-05-09 07:45:39
41,QS2002,7.06,wind_speed,2021-05-09 07:45:41
42,QS2002,0,elevation,2021-05-09 07:45:42
43,QS2002,1,elevation,2021-05-09 07:45:45
44,QS2002,10.02,wind_speed,2021-05-09 07:45:46
45,QS2002,2,elevation,2021-05-09 07:45:48
46,QS2002,3, person_entry,2021-05-09 07:45:51
47,QS2002,0,elevation,2021-05-09 07:45:51
48,QS2002,5.33,wind_speed,2021-05-09 07:45:51
49,QS2002,2,elevation,2021-05-09 07:45:54
50,QS2002,5.79,wind_speed,2021-05-09 07:45:56
51,QS2002,0,elevation,2021-05-09 07:45:57
52,QS2002,2,elevation,2021-05-09 07:46:00
53,QS2002,8.33,wind_speed,2021-05-09 07:46:01
54,QS2002,0,elevation,2021-05-09 07:46:03
55,QS2002,-2,button_call,2021-05-09 07:46:04
56,QS2002,1,elevation,2021-05-09 07:46:06
57,QS2002,7.67,wind_speed,2021-05-09 07:46:06
58,QS2002,3,elevation,2021-05-09 07:46:09
59,QS2002,4, person_entry,2021-05-09 07:46:11
60,QS2002,7.78,wind_speed,2021-05-09 07:46:11
61,QS2002,6,elevation,2021-05-09 07:46:12
62,QS2002,6,elevation,2021-05-09 07:46:15
63,QS2002,5.86,wind_speed,2021-05-09 07:46:16
64,QS2002,3,elevation,2021-05-09 07:46:18
65,QS2002,4,elevation,2021-05-09 07:46:21
66,QS2002,4.24,wind_speed,2021-05-09 07:46:21
67,QS2002,0,button_call,2021-05-09 07:46:22
68,QS2002,3,elevation,2021-05-09 07:46:24
69,QS2002,9.27,wind_speed,2021-05-09 07:46:26
70,QS2002,2,elevation,2021-05-09 07:46:27
71,QS2002,2,door_open,2021-05-09 07:46:27
72,QS2002,2,elevation,2021-05-09 07:46:30
73,QS2002,6.24,wind_speed,2021-05-09 07:46:31
74,QS2002,4,elevation,2021-05-09 07:46:33
75,QS2002,3,elevation,2021-05-09 07:46:36
76,QS2002,8.70,wind_speed,2021-05-09 07:46:36
77,QS2002,4, person_exit,2021-05-09 07:46:38
78,QS2002,2,elevation,2021-05-09 07:46:39
79,QS2002,7.17,wind_speed,2021-05-09 07:46:41
80,QS2002,5,elevation,2021-05-09 07:46:42
81,QS2002,5,door_open,2021-05-09 07:46:42
82,QS2002,3, person_exit,2021-05-09 07:46:45
83,QS2002,6,elevation,2021-05-09 07:46:45
84,QS2002,6,door_open,2021-05-09 07:46:45
85,QS2002,0,button_call,2021-05-09 07:46:45
86,QS2002,4.97,wind_speed,2021-05-09 07:46:46
87,QS2002,1,button_call,2021-05-09 07:46:47
88,QS2002,3,elevation,2021-05-09 07:46:48
89,QS2002,3,door_open,2021-05-09 07:46:48
90,QS2002,5, person_entry,2021-05-09 07:46:49
91,QS2002,2,elevation,2021-05-09 07:46:51
92,QS2002,9.19,wind_speed,2021-05-09 07:46:51
93,QS2002,6, person_entry,2021-05-09 07:46:53
94,QS2002,4,elevation,2021-05-09 07:46:54
95,QS2002,3.97,wind_speed,2021-05-09 07:46:56
96,QS2002,5,elevation,2021-05-09 07:46:57
97,QS2002,5, person_exit,2021-05-09 07:46:59
98,QS2002,5,elevation,2021-05-09 07:47:00
99,QS2002,6.96,wind_speed,2021-05-09 07:47:01
100,QS2002,8,elevation,2021-05-09 07:47:03
101,QS2002,6,elevation,2021-05-09 07:47:06
102,QS2002,3.11,wind_speed,2021-05-09 07:47:06
103,QS2002,4,elevation,2021-05-09 07:47:09
